Product_Code	W0	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W50	W51	Pattern	Group
P553	[0-7]	[0-2]	[0-4]	[0-6]	[0-8]	[0-8]	[0-7]	[0-3]	[0-6]	[0-8]	[0-6]	[0-4]	[0-5]	[0-4]	[0-13]	[1-6]	[0-7]	[0-8]	[0-4]	[0-8]	[0-6]	[0-10]	[0-7]	[0-11]	[0-13]	[0-14]	[0-6]	[0-4]	[0-7]	[0-5]	[0-7]	[0-4]	[0-4]	[0-8]	[0-5]	[0-4]	[0-4]	[0-5]	[0-4]	[0-4]	[0-7]	[0-8]	[0-4]	[0-2]	[0-6]	[0-3]	[0-7]	[0-5]	[0-4]	[0-5]	[0-12]	[0-11]	cdc	3
P573	[0-7]	[0-2]	[0-4]	[0-6]	[0-8]	[0-8]	[0-7]	[0-3]	[0-6]	[0-8]	[0-6]	[0-4]	[0-5]	[0-4]	[0-13]	[1-6]	[0-7]	[0-8]	[0-4]	[0-8]	[0-6]	[0-10]	[0-7]	[0-11]	[0-13]	[0-14]	[0-6]	[0-4]	[0-7]	[0-5]	[0-7]	[0-4]	[0-4]	[0-8]	[0-5]	[0-4]	[0-4]	[0-5]	[0-4]	[0-4]	[0-7]	[0-8]	[0-4]	[0-2]	[0-6]	[0-3]	[0-7]	[0-5]	[0-4]	[0-5]	[0-12]	[0-11]	cdc	3
P586	[0-7]	[0-2]	[0-4]	[0-6]	[0-8]	[0-8]	[0-7]	[0-3]	[0-6]	[0-8]	[0-6]	[0-4]	[0-5]	[0-4]	[0-13]	[1-6]	[0-7]	[0-8]	[0-4]	[0-8]	[0-6]	[0-10]	[0-7]	[0-11]	[0-13]	[0-14]	[0-6]	[0-4]	[0-7]	[0-5]	[0-7]	[0-4]	[0-4]	[0-8]	[0-5]	[0-4]	[0-4]	[0-5]	[0-4]	[0-4]	[0-7]	[0-8]	[0-4]	[0-2]	[0-6]	[0-3]	[0-7]	[0-5]	[0-4]	[0-5]	[0-12]	[0-11]	cdc	3
P643	[0-7]	[0-2]	[0-4]	[0-6]	[0-8]	[0-8]	[0-7]	[0-3]	[0-6]	[0-8]	[0-6]	[0-4]	[0-5]	[0-4]	[0-13]	[1-6]	[0-7]	[0-8]	[0-4]	[0-8]	[0-6]	[0-10]	[0-7]	[0-11]	[0-13]	[0-14]	[0-6]	[0-4]	[0-7]	[0-5]	[0-7]	[0-4]	[0-4]	[0-8]	[0-5]	[0-4]	[0-4]	[0-5]	[0-4]	[0-4]	[0-7]	[0-8]	[0-4]	[0-2]	[0-6]	[0-3]	[0-7]	[0-5]	[0-4]	[0-5]	[0-12]	[0-11]	cdc	3
P780	[0-7]	[0-2]	[0-4]	[0-6]	[0-8]	[0-8]	[0-7]	[0-3]	[0-6]	[0-8]	[0-6]	[0-4]	[0-5]	[0-4]	[0-13]	[1-6]	[0-7]	[0-8]	[0-4]	[0-8]	[0-6]	[0-10]	[0-7]	[0-11]	[0-13]	[0-14]	[0-6]	[0-4]	[0-7]	[0-5]	[0-7]	[0-4]	[0-4]	[0-8]	[0-5]	[0-4]	[0-4]	[0-5]	[0-4]	[0-4]	[0-7]	[0-8]	[0-4]	[0-2]	[0-6]	[0-3]	[0-7]	[0-5]	[0-4]	[0-5]	[0-12]	[0-11]	cdc	3
P258	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-2]	[0-0]	[0-1]	[0-1]	[0-2]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-2]	[0-2]	bcb	4
P604	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-2]	[0-0]	[0-1]	[0-1]	[0-2]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-2]	[0-2]	bcb	4
P711	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-2]	[0-0]	[0-1]	[0-1]	[0-2]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-2]	[0-2]	bcb	4
P714	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-2]	[0-0]	[0-1]	[0-1]	[0-2]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-2]	[0-2]	bcb	4
P818	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-1]	[0-2]	[0-0]	[0-1]	[0-1]	[0-2]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-2]	[0-2]	bcb	4
P95	[10-21]	[7-16]	[8-17]	[6-17]	[7-14]	[7-13]	[12-21]	[4-11]	[11-13]	[5-20]	[7-15]	[5-17]	[6-15]	[4-17]	[11-29]	[2-18]	[9-17]	[13-16]	[13-20]	[9-29]	[9-18]	[9-14]	[11-30]	[9-19]	[10-18]	[9-22]	[6-18]	[5-18]	[5-15]	[6-16]	[4-14]	[7-10]	[7-21]	[4-23]	[9-18]	[5-13]	[6-15]	[6-8]	[10-12]	[5-20]	[4-9]	[7-17]	[7-9]	[7-13]	[3-22]	[5-15]	[5-23]	[5-10]	[5-13]	[7-13]	[3-16]	[6-28]	ddc	5
P154	[10-21]	[7-16]	[8-17]	[6-17]	[7-14]	[7-13]	[12-21]	[4-11]	[11-13]	[5-20]	[7-15]	[5-17]	[6-15]	[4-17]	[11-29]	[2-18]	[9-17]	[13-16]	[13-20]	[9-29]	[9-18]	[9-14]	[11-30]	[9-19]	[10-18]	[9-22]	[6-18]	[5-18]	[5-15]	[6-16]	[4-14]	[7-10]	[7-21]	[4-23]	[9-18]	[5-13]	[6-15]	[6-8]	[10-12]	[5-20]	[4-9]	[7-17]	[7-9]	[7-13]	[3-22]	[5-15]	[5-23]	[5-10]	[5-13]	[7-13]	[3-16]	[6-28]	ddc	5
P397	[10-21]	[7-16]	[8-17]	[6-17]	[7-14]	[7-13]	[12-21]	[4-11]	[11-13]	[5-20]	[7-15]	[5-17]	[6-15]	[4-17]	[11-29]	[2-18]	[9-17]	[13-16]	[13-20]	[9-29]	[9-18]	[9-14]	[11-30]	[9-19]	[10-18]	[9-22]	[6-18]	[5-18]	[5-15]	[6-16]	[4-14]	[7-10]	[7-21]	[4-23]	[9-18]	[5-13]	[6-15]	[6-8]	[10-12]	[5-20]	[4-9]	[7-17]	[7-9]	[7-13]	[3-22]	[5-15]	[5-23]	[5-10]	[5-13]	[7-13]	[3-16]	[6-28]	ddc	5
P435	[10-21]	[7-16]	[8-17]	[6-17]	[7-14]	[7-13]	[12-21]	[4-11]	[11-13]	[5-20]	[7-15]	[5-17]	[6-15]	[4-17]	[11-29]	[2-18]	[9-17]	[13-16]	[13-20]	[9-29]	[9-18]	[9-14]	[11-30]	[9-19]	[10-18]	[9-22]	[6-18]	[5-18]	[5-15]	[6-16]	[4-14]	[7-10]	[7-21]	[4-23]	[9-18]	[5-13]	[6-15]	[6-8]	[10-12]	[5-20]	[4-9]	[7-17]	[7-9]	[7-13]	[3-22]	[5-15]	[5-23]	[5-10]	[5-13]	[7-13]	[3-16]	[6-28]	ddc	5
P182	[3-10]	[1-6]	[5-8]	[5-13]	[4-9]	[1-16]	[1-11]	[5-8]	[4-8]	[4-12]	[2-12]	[4-10]	[4-13]	[4-7]	[3-11]	[3-6]	[3-9]	[0-9]	[1-9]	[2-7]	[2-5]	[3-8]	[2-9]	[3-8]	[5-10]	[4-7]	[2-8]	[4-9]	[1-6]	[0-4]	[2-7]	[2-5]	[1-6]	[1-8]	[2-15]	[4-8]	[3-9]	[1-6]	[2-18]	[2-6]	[5-7]	[4-8]	[7-7]	[2-12]	[1-9]	[4-10]	[2-9]	[2-10]	[2-13]	[3-11]	[2-8]	[6-11]	bab	6
P318	[3-10]	[1-6]	[5-8]	[5-13]	[4-9]	[1-16]	[1-11]	[5-8]	[4-8]	[4-12]	[2-12]	[4-10]	[4-13]	[4-7]	[3-11]	[3-6]	[3-9]	[0-9]	[1-9]	[2-7]	[2-5]	[3-8]	[2-9]	[3-8]	[5-10]	[4-7]	[2-8]	[4-9]	[1-6]	[0-4]	[2-7]	[2-5]	[1-6]	[1-8]	[2-15]	[4-8]	[3-9]	[1-6]	[2-18]	[2-6]	[5-7]	[4-8]	[7-7]	[2-12]	[1-9]	[4-10]	[2-9]	[2-10]	[2-13]	[3-11]	[2-8]	[6-11]	bab	6
P313	[3-10]	[1-6]	[5-8]	[5-13]	[4-9]	[1-16]	[1-11]	[5-8]	[4-8]	[4-12]	[2-12]	[4-10]	[4-13]	[4-7]	[3-11]	[3-6]	[3-9]	[0-9]	[1-9]	[2-7]	[2-5]	[3-8]	[2-9]	[3-8]	[5-10]	[4-7]	[2-8]	[4-9]	[1-6]	[0-4]	[2-7]	[2-5]	[1-6]	[1-8]	[2-15]	[4-8]	[3-9]	[1-6]	[2-18]	[2-6]	[5-7]	[4-8]	[7-7]	[2-12]	[1-9]	[4-10]	[2-9]	[2-10]	[2-13]	[3-11]	[2-8]	[6-11]	bab	6
P626	[3-10]	[1-6]	[5-8]	[5-13]	[4-9]	[1-16]	[1-11]	[5-8]	[4-8]	[4-12]	[2-12]	[4-10]	[4-13]	[4-7]	[3-11]	[3-6]	[3-9]	[0-9]	[1-9]	[2-7]	[2-5]	[3-8]	[2-9]	[3-8]	[5-10]	[4-7]	[2-8]	[4-9]	[1-6]	[0-4]	[2-7]	[2-5]	[1-6]	[1-8]	[2-15]	[4-8]	[3-9]	[1-6]	[2-18]	[2-6]	[5-7]	[4-8]	[7-7]	[2-12]	[1-9]	[4-10]	[2-9]	[2-10]	[2-13]	[3-11]	[2-8]	[6-11]	bab	6
P134	[0-5]	[0-7]	[0-9]	[0-5]	[0-4]	[0-7]	[0-5]	[0-4]	[0-7]	[0-7]	[0-6]	[0-8]	[0-9]	[0-5]	[0-4]	[1-7]	[0-3]	[0-5]	[0-4]	[0-5]	[0-8]	[0-5]	[0-5]	[0-3]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-2]	[0-3]	[0-2]	[0-5]	[0-7]	[0-3]	[0-4]	[0-4]	[0-4]	[0-7]	[0-4]	[0-6]	[0-6]	[0-9]	[0-4]	[0-3]	[0-5]	[0-6]	[0-5]	[0-8]	dcd	7
P159	[0-5]	[0-7]	[0-9]	[0-5]	[0-4]	[0-7]	[0-5]	[0-4]	[0-7]	[0-7]	[0-6]	[0-8]	[0-9]	[0-5]	[0-4]	[1-7]	[0-3]	[0-5]	[0-4]	[0-5]	[0-8]	[0-5]	[0-5]	[0-3]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-2]	[0-3]	[0-2]	[0-5]	[0-7]	[0-3]	[0-4]	[0-4]	[0-4]	[0-7]	[0-4]	[0-6]	[0-6]	[0-9]	[0-4]	[0-3]	[0-5]	[0-6]	[0-5]	[0-8]	dcd	7
P227	[0-5]	[0-7]	[0-9]	[0-5]	[0-4]	[0-7]	[0-5]	[0-4]	[0-7]	[0-7]	[0-6]	[0-8]	[0-9]	[0-5]	[0-4]	[1-7]	[0-3]	[0-5]	[0-4]	[0-5]	[0-8]	[0-5]	[0-5]	[0-3]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-2]	[0-3]	[0-2]	[0-5]	[0-7]	[0-3]	[0-4]	[0-4]	[0-4]	[0-7]	[0-4]	[0-6]	[0-6]	[0-9]	[0-4]	[0-3]	[0-5]	[0-6]	[0-5]	[0-8]	dcd	7
P298	[0-5]	[0-7]	[0-9]	[0-5]	[0-4]	[0-7]	[0-5]	[0-4]	[0-7]	[0-7]	[0-6]	[0-8]	[0-9]	[0-5]	[0-4]	[1-7]	[0-3]	[0-5]	[0-4]	[0-5]	[0-8]	[0-5]	[0-5]	[0-3]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-2]	[0-3]	[0-2]	[0-5]	[0-7]	[0-3]	[0-4]	[0-4]	[0-4]	[0-7]	[0-4]	[0-6]	[0-6]	[0-9]	[0-4]	[0-3]	[0-5]	[0-6]	[0-5]	[0-8]	dcd	7
P815	[0-5]	[0-7]	[0-9]	[0-5]	[0-4]	[0-7]	[0-5]	[0-4]	[0-7]	[0-7]	[0-6]	[0-8]	[0-9]	[0-5]	[0-4]	[1-7]	[0-3]	[0-5]	[0-4]	[0-5]	[0-8]	[0-5]	[0-5]	[0-3]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-4]	[0-5]	[0-2]	[0-3]	[0-2]	[0-5]	[0-7]	[0-3]	[0-4]	[0-4]	[0-4]	[0-7]	[0-4]	[0-6]	[0-6]	[0-9]	[0-4]	[0-3]	[0-5]	[0-6]	[0-5]	[0-8]	dcd	7
P659	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-2]	[0-1]	[0-0]	[0-1]	[0-2]	[0-2]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-2]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	[1-2]	[0-1]	[0-1]	[0-0]	[0-2]	[0-2]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	dcd	8
P681	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-2]	[0-1]	[0-0]	[0-1]	[0-2]	[0-2]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-2]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	[1-2]	[0-1]	[0-1]	[0-0]	[0-2]	[0-2]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	dcd	8
P695	[0-0]	[0-1]	[0-1]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-2]	[0-1]	[0-0]	[0-1]	[0-2]	[0-2]	[0-1]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-2]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-0]	[0-1]	[0-0]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	[1-2]	[0-1]	[0-1]	[0-0]	[0-2]	[0-2]	[0-0]	[0-1]	[0-0]	[0-1]	[0-1]	dcd	8
